is_login;playback_location;platform;play_time;end_time;referrer;average_bitrate;bitrate_range;total_bytes;referrer_group;completed;player_name;has_ad;os_name;os_version;browser_name;browser_version;is_premium;play_duration;content_type;stream_type;title;category_name
FALSE;embed;web-mobile;2020-02-02T10:21:20.000Z;2020-02-02T10:21:20.000Z;https://m.liputan6.com/bola/read/4169085/marc-klok-bertekad-perkuat-persija-jakarta-usai-final-piala-indonesia?source=amp-related-articles&_gl=1*1ozb6ww*_ga*aDZwVE5QQk00aG5Sc29FVXp3UXpLRDA3R19CS0RlcFlkVGhhU2M2ZnlmTEpoQ1A0c0dWcWNpRzIxbmR2elhMWA..;300000;200-500;0;liputan6;FALSE;videojs;TRUE;Android;9;Chrome Mobile WebView;62.0.3202;FALSE;0;vod;;Kiprah Eks Pemain Juventus yang Dikaitkan dengan  Persija;Sports
FALSE;embed;web-mobile;2020-02-02T12:17:33.000Z;2020-02-02T12:17:53.000Z;https://m.bola.net/italia/lautaro-martinez-absen-siapa-tandem-romelu-lukaku-aa33da.html;600;0-200;750;bolanet;FALSE;videojs;TRUE;Android;9;Chrome Mobile;79.0.3945;FALSE;19;vod;;Pindah ke Inter Milan, Christian Eriksen Jadi Pemain Dengan Nilai Pasar Tertinggi di Serie A;Sports
FALSE;embed;web-mobile;2020-02-02T01:26:42.000Z;2020-02-02T01:27:07.000Z;https://m.bola.net/italia/lautaro-martinez-absen-siapa-tandem-romelu-lukaku-aa33da.html;300000;200-500;900000;bolanet;FALSE;videojs;TRUE;Android;9;Samsung Internet;10.2;FALSE;24;vod;;Pindah ke Inter Milan, Christian Eriksen Jadi Pemain Dengan Nilai Pasar Tertinggi di Serie A;Sports
FALSE;embed;web-mobile;2020-02-02T13:45:05.000Z;2020-02-02T13:45:05.000Z;https://m.liputan6.com/amp/4169313/jadwal-liga-inggris-siaran-langsung-tvri-malam-ini-burnley-vs-arsenal;600;0-200;750;liputan6;FALSE;videojs;TRUE;Android;8.1.0;Chrome Mobile WebView;79.0.3945;FALSE;0;vod;;5 Kelebihan Mikel Arteta Menurut Pep Guardiola;Sports
FALSE;embed;web-desktop;2020-02-02T13:23:40.000Z;2020-02-02T13:23:44.000Z;https://www.liputan6.com/bola/read/4169313/jadwal-liga-inggris-siaran-langsung-tvri-malam-ini-burnley-vs-arsenal;700;0-200;875;liputan6;FALSE;videojs;TRUE;Windows;7;Chrome;79.0.3945;FALSE;4;vod;;5 Kelebihan Mikel Arteta Menurut Pep Guardiola;Sports
FALSE;embed;web-mobile;2020-02-02T10:47:10.000Z;2020-02-02T10:47:10.000Z;https://m.liputan6.com/ucnews/4169141/rekrut-cedric-arsenal-dinilai-cerdas?utm_source=Digital+Marketing&utm_medium=Partnership&utm_campaign=ucnews&uc_news_item_id=3908871442450825&uc_news_app=browser_iflow;300000;200-500;0;liputan6;FALSE;videojs;TRUE;Android;8.1.0;UC Browser;13.0.0;FALSE;0;vod;;5 Kelebihan Mikel Arteta Menurut Pep Guardiola;Sports
TRUE;direct;app-android;2020-02-02T07:56:10.000Z;2020-02-02T07:56:10.000Z;collection;300000;200-500;0;others;FALSE;KmkExoVideoView;TRUE;REL;Build.VERSION.CODENAME (28);;;FALSE;0;vod;;Samudra Cinta - Episode 1,2 dan 3;TV Show
FALSE;embed;web-mobile;2020-02-02T15:19:55.000Z;2020-02-02T15:20:23.000Z;https://m.kapanlagi.com/;600;0-200;1500;kapanlagi;FALSE;videojs;TRUE;Android;6.0.1;Chrome Mobile;79.0.3945;FALSE;29;vod;;Heechul Super Junior & Momo TWICE Resmi Berpacaran, Selamat Ya!;Entertainment
FALSE;embed;web-mobile;2020-02-02T04:04:05.000Z;2020-02-02T04:04:40.000Z;https://m.dream.co.id/amp/your-story/ayah-menangis-lihat-anak-terjangkit-virus-corona-minta-peluk-dari-ruang-isolasi-2002010.html;600;0-200;750;dream;FALSE;videojs;TRUE;Android;9;Chrome Mobile;79.0.3945;FALSE;13;vod;;Dari Jakarta Hingga Bekasi, Ini Situasi Pemukiman yang Terkena Dampak Banjir;News
FALSE;embed;web-mobile;2020-02-02T06:15:33.000Z;2020-02-02T06:18:33.000Z;https://m.dream.co.id/your-story/ayah-menangis-lihat-anak-terjangkit-virus-corona-minta-peluk-dari-ruang-isolasi-2002010.html?utm_source=fb&utm_medium=post_unofficial&utm_campaign=fb__Kiky;300000;200-500;2475000;dream;FALSE;videojs;TRUE;Android;8.1.0;Opera Mobile;46.0.2254;FALSE;66;vod;;Dari Jakarta Hingga Bekasi, Ini Situasi Pemukiman yang Terkena Dampak Banjir;News
